3030,hsa-miR-9-5p
383,hsa-miR-612
383,hsa-miR-6860
1802,hsa-miR-3619-5p
3362,hsa-miR-5193
489,hsa-miR-1304-5p
365,hsa-miR-4498
2312,hsa-miR-181d-5p
2329,hsa-miR-208b-5p
3026,hsa-miR-5787
3270,hsa-miR-181b-2-3p
3360,hsa-miR-4668-5p
632,hsa-miR-4691-5p
1921,hsa-miR-1915-5p
3404,hsa-miR-4739
1126,hsa-miR-4733-3p
1163,hsa-miR-6893-3p
3458,hsa-miR-4739
178,hsa-miR-6089
17,hsa-miR-637
2661,hsa-miR-6764-5p
638,hsa-miR-1273h-5p
1871,hsa-miR-6812-5p
693,hsa-miR-2861
1040,hsa-miR-6797-5p
1372,hsa-miR-3929
652,hsa-miR-7974
1588,hsa-miR-378g
121,hsa-miR-637
45,hsa-miR-6839-3p
2572,hsa-miR-3677-5p
1004,hsa-miR-4690-3p
74,hsa-miR-372-3p
523,hsa-miR-6852-5p
60,hsa-miR-1286
8,hsa-miR-133a-3p
962,hsa-miR-6774-5p
2771,hsa-miR-877-3p
370,hsa-miR-29c-3p
396,hsa-miR-939-3p
598,hsa-miR-328-5p
3534,hsa-miR-6894-5p
84,hsa-miR-3202
2409,hsa-miR-4739
594,hsa-miR-2861
12,hsa-miR-6824-5p
1749,hsa-miR-4726-5p
834,hsa-miR-29a-3p
175,hsa-miR-3192-5p
373,hsa-miR-6776-5p
211,hsa-miR-4640-5p
1065,hsa-miR-5189-5p
1365,hsa-miR-4739
305,hsa-miR-5189-5p
307,hsa-miR-939-3p
766,hsa-miR-5787
543,hsa-miR-622
39,hsa-miR-615-5p
1443,hsa-miR-4722-5p
584,hsa-miR-5189-5p
597,hsa-miR-1273h-5p
1215,hsa-miR-4755-3p
48,hsa-miR-5047
2513,hsa-miR-3145-3p
3,hsa-miR-1321
1376,hsa-miR-6760-3p
3075,hsa-miR-3692-3p
872,hsa-miR-6849-3p
1748,hsa-miR-3929
738,hsa-miR-5011-5p
180,hsa-miR-6882-3p
1655,hsa-miR-7515
272,hsa-miR-29c-3p
1057,hsa-miR-4259
1599,hsa-miR-3620-5p
7,hsa-miR-367-5p
11,hsa-miR-3612
453,hsa-miR-6852-5p
1742,hsa-miR-3187-5p
1184,hsa-miR-3619-5p
3111,hsa-miR-6751-5p
1,hsa-miR-6089
2543,hsa-miR-4691-5p
17,hsa-miR-3620-5p
2913,hsa-miR-4753-3p
1519,hsa-miR-661
588,hsa-miR-6882-3p
3220,hsa-miR-335-3p
243,hsa-miR-1470
1791,hsa-miR-5787
1348,hsa-miR-4646-5p
3049,hsa-miR-6803-5p
26,hsa-miR-762
250,hsa-miR-125a-3p
2925,hsa-miR-1277-5p
410,hsa-miR-4642
154,hsa-miR-4640-5p
2330,hsa-miR-4685-5p
271,hsa-miR-4640-5p
1791,hsa-miR-4728-5p
587,hsa-miR-4691-5p
3003,hsa-miR-199b-5p
731,hsa-miR-24-3p
700,hsa-miR-6720-5p
134,hsa-miR-1303
214,hsa-miR-1343-3p
1849,hsa-miR-4498
780,hsa-miR-612
812,hsa-miR-6848-5p
1217,hsa-miR-3613-3p
222,hsa-miR-8073
469,hsa-miR-619-5p
64,hsa-miR-30e-3p
843,hsa-miR-5193
674,hsa-miR-6736-3p
1903,hsa-miR-4731-5p
2687,hsa-miR-4726-5p
1372,hsa-miR-4763-3p
63,hsa-miR-6877-3p
96,hsa-miR-6816-5p
1012,hsa-miR-6736-5p
2774,hsa-miR-877-3p
1808,hsa-miR-6799-3p
283,hsa-miR-6815-5p
1089,hsa-miR-4742-5p
472,hsa-miR-6791-3p
412,hsa-miR-6895-5p
393,hsa-miR-6751-5p
793,hsa-miR-6791-5p
358,hsa-miR-5001-5p
1480,hsa-miR-3620-5p
1573,hsa-miR-612
222,hsa-miR-6741-5p
232,hsa-miR-6884-5p
1174,hsa-miR-6756-5p
731,hsa-miR-4739
453,hsa-miR-7851-3p
659,hsa-miR-4686
899,hsa-miR-3929
1688,hsa-miR-6779-5p
544,hsa-miR-6741-5p
544,hsa-miR-1183
1454,hsa-miR-4739
533,hsa-miR-6830-3p
19,hsa-miR-3202
